algoritmo,fitness,tempo
ts,86,0.0014188289642333984
ts,86,0.0013718605041503906
ts,86,0.001425027847290039
ts,83,0.0015261173248291016
ts,79,0.0012867450714111328
ts,75,0.00133514404296875
ts,68,0.0011019706726074219
ts,83,0.0012443065643310547
ts,79,0.0010831356048583984
ts,69,0.0008728504180908203
ts,72,0.001008749008178711
ts,86,0.0011298656463623047
ts,86,0.0011157989501953125
ts,79,0.0007841587066650391
ts,79,0.0009672641754150391
ts,75,0.0009207725524902344
ts,79,0.0009410381317138672
ts,72,0.00090789794921875
ts,72,0.0010230541229248047
ts,79,0.0009741783142089844
ts,83,0.0009229183197021484
ts,55,0.0009033679962158203
ts,79,0.0009100437164306641
ts,79,0.0009758472442626953
ts,79,0.0009441375732421875
ts,68,0.0009768009185791016
ts,86,0.0008568763732910156
ts,67,0.0008471012115478516
ts,72,0.0008862018585205078
ts,86,0.0008580684661865234
ag,86,0.20015716552734375
ag,83,0.19670915603637695
ag,83,0.19544601440429688
ag,86,0.19438695907592773
ag,86,0.1916038990020752
ag,86,0.1945338249206543
ag,83,0.19559311866760254
ag,83,0.19755911827087402
ag,86,0.20078301429748535
ag,86,0.1984250545501709
ag,86,0.19605112075805664
ag,86,0.1978449821472168
ag,83,0.1974482536315918
ag,86,0.19671225547790527
ag,86,0.20163583755493164
ag,83,0.19822311401367188
ag,86,0.19727492332458496
ag,86,0.19708013534545898
ag,86,0.19734597206115723
ag,86,0.20016884803771973
ag,86,0.1977829933166504
ag,86,0.1972370147705078
ag,86,0.19547295570373535
ag,86,0.19752287864685059
ag,86,0.1962130069732666
ag,86,0.19817590713500977
ag,86,0.20128488540649414
ag,86,0.19786596298217773
ag,86,0.19725775718688965
ag,86,0.1968979835510254
