algoritmo,fitness,tempo
ts,589,0.00450587272644043
ts,582,0.00429081916809082
ts,579,0.004172801971435547
ts,536,0.004235029220581055
ts,541,0.004197835922241211
ts,601,0.004117012023925781
ts,480,0.004127979278564453
ts,529,0.003437042236328125
ts,586,0.0040090084075927734
ts,523,0.004060983657836914
ts,584,0.004335880279541016
ts,577,0.00423884391784668
ts,612,0.004075050354003906
ts,594,0.00351715087890625
ts,628,0.0037670135498046875
ts,547,0.0036051273345947266
ts,569,0.0042209625244140625
ts,617,0.0041081905364990234
ts,573,0.004125833511352539
ts,582,0.004194021224975586
ts,599,0.004022121429443359
ts,540,0.004183053970336914
ts,574,0.004221916198730469
ts,598,0.004269838333129883
ts,623,0.004180908203125
ts,610,0.003710031509399414
ts,631,0.0040891170501708984
ts,561,0.004033088684082031
ts,570,0.004221200942993164
ts,565,0.004234790802001953
ag,841,1.0322580337524414
ag,836,1.0202360153198242
ag,832,1.0369288921356201
ag,828,1.019151210784912
ag,829,1.0150609016418457
ag,836,1.022947072982788
ag,834,1.0219779014587402
ag,830,1.0179228782653809
ag,830,1.0293900966644287
ag,836,1.0243020057678223
ag,823,1.0244600772857666
ag,830,1.0281519889831543
ag,831,1.018989086151123
ag,835,1.0190849304199219
ag,831,1.0196309089660645
ag,833,1.0186591148376465
ag,831,1.0217361450195312
ag,839,1.0174591541290283
ag,829,1.0324220657348633
ag,836,1.0177149772644043
ag,837,1.023813009262085
ag,839,1.0251777172088623
ag,828,1.030989646911621
ag,831,1.0155770778656006
ag,837,1.0274391174316406
ag,837,1.02878999710083
ag,835,1.0185468196868896
ag,833,1.0249059200286865
ag,831,1.0324828624725342
ag,839,1.0194931030273438
